Diet,Heating Energy Source,Transport,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Weekly Count,Weekly Electricity Usage,Carbon_Emission
omnivore,wood,walk/bicycle,266,frequently,7,4,322,309.2
pescatarian,natural gas,public,202,never,833,5,231,295.0
pescatarian,coal,private,170,very frequently,4136,2,224,821.0
vegetarian,wood,walk/bicycle,178,never,20,5,140,281.0
pescatarian,wood,walk/bicycle,297,never,45,4,175,414.0
omnivore,coal,public,88,very frequently,853,2,147,514.6
omnivore,coal,private,80,never,1388,4,98,294.2
omnivore,natural gas,public,290,very frequently,718,7,217,685.4
pescatarian,wood,walk/bicycle,238,rarely,43,3,28,230.4
vegan,electricity,public,85,rarely,97,3,203,233.0
vegetarian,coal,public,136,very frequently,1149,3,133,536.4
pescatarian,electricity,private,95,never,4917,7,63,526.8
vegan,coal,private,213,frequently,3038,7,119,508.2
pescatarian,natural gas,walk/bicycle,254,rarely,16,4,203,232.0
vegetarian,wood,private,298,rarely,1657,2,196,486.2
omnivore,coal,walk/bicycle,126,very frequently,49,5,231,737.0
vegetarian,natural gas,walk/bicycle,76,frequently,65,6,105,426.6
vegetarian,coal,private,95,very frequently,2439,3,35,559.8
pescatarian,wood,public,233,never,205,5,238,336.4
omnivore,wood,walk/bicycle,168,frequently,20,1,266,261.2
vegetarian,natural gas,walk/bicycle,169,very frequently,86,2,154,401.2
vegetarian,coal,public,190,frequently,149,6,21,707.4
vegan,electricity,walk/bicycle,129,very frequently,70,1,245,598.6
pescatarian,wood,private,295,frequently,9151,7,175,871.8
pescatarian,wood,walk/bicycle,188,very frequently,92,4,91,505.6
pescatarian,wood,walk/bicycle,202,frequently,5,2,175,370.2
pescatarian,natural gas,public,271,frequently,1295,7,21,477.6
vegan,wood,public,53,never,1475,3,210,281.8
vegan,natural gas,private,132,rarely,1197,6,112,378.0
pescatarian,electricity,public,130,very frequently,1467,4,189,622.0
vegetarian,coal,private,121,rarely,1526,2,168,274.6
omnivore,coal,private,89,never,4621,4,161,405.8
pescatarian,electricity,private,175,very frequently,3953,6,238,812.8
vegetarian,natural gas,walk/bicycle,59,never,60,1,196,194.6
vegan,electricity,walk/bicycle,88,frequently,68,2,112,253.0
pescatarian,natural gas,private,213,rarely,2184,6,273,443.6
vegetarian,natural gas,walk/bicycle,222,frequently,3,5,182,345.4
vegan,electricity,public,268,frequently,1707,1,168,373.0
vegetarian,natural gas,private,115,very frequently,1655,6,77,500.0
pescatarian,natural gas,private,294,very frequently,5746,7,189,1019.6
pescatarian,electricity,public,248,rarely,1166,5,273,334.8
omnivore,wood,private,112,very frequently,1844,7,98,402.2
vegan,coal,walk/bicycle,100,very frequently,66,7,91,554.8
pescatarian,electricity,walk/bicycle,298,never,9,4,154,220.2
omnivore,electricity,private,243,rarely,8133,4,329,874.4
vegan,coal,public,139,rarely,1893,2,70,337.2
vegetarian,wood,walk/bicycle,232,very frequently,59,7,161,472.2
vegan,natural gas,private,170,frequently,6388,3,84,921.0
omnivore,natural gas,public,173,frequently,678,1,154,368.2
pescatarian,electricity,private,151,frequently,4861,6,133,691.8
vegetarian,wood,private,220,rarely,1098,6,168,270.4
pescatarian,natural gas,private,287,rarely,8031,1,217,668.0
vegan,electricity,private,254,very frequently,3597,6,196,581.2
vegan,coal,walk/bicycle,204,rarely,27,5,196,288.6
pescatarian,electricity,private,114,very frequently,2019,5,21,524.8
vegetarian,coal,private,118,rarely,4880,1,119,302.6
vegetarian,electricity,public,221,never,494,4,168,228.2
omnivore,coal,public,93,rarely,787,4,196,349.0
omnivore,electricity,walk/bicycle,159,never,24,1,119,188.0
pescatarian,wood,public,204,frequently,1529,2,203,411.2
omnivore,natural gas,public,272,very frequently,1088,5,245,562.8
omnivore,natural gas,public,214,very frequently,966,2,287,601.2
vegan,electricity,private,262,frequently,6691,5,259,813.0
vegan,wood,walk/bicycle,227,very frequently,49,7,217,631.8
pescatarian,wood,public,241,very frequently,539,2,273,595.6
vegan,wood,private,74,never,2411,7,168,458.4
vegan,wood,private,116,never,5689,7,119,450.6
vegan,natural gas,public,162,frequently,421,7,301,421.6
vegan,wood,private,217,rarely,625,1,245,321.0
vegan,wood,walk/bicycle,269,frequently,63,7,105,490.0
vegetarian,electricity,walk/bicycle,63,very frequently,15,7,259,538.2
omnivore,coal,public,194,frequently,1986,2,168,542.6
pescatarian,natural gas,walk/bicycle,245,very frequently,37,5,161,674.0
vegan,natural gas,public,106,never,1824,7,35,288.0
omnivore,coal,private,88,rarely,3102,3,119,327.4
omnivore,electricity,walk/bicycle,193,never,6,1,203,175.2
pescatarian,coal,walk/bicycle,265,rarely,98,7,119,394.6
vegan,natural gas,public,82,very frequently,723,6,154,585.0
vegan,wood,public,54,rarely,1763,4,238,231.4
pescatarian,electricity,walk/bicycle,119,frequently,79,7,189,449.8
vegan,wood,private,88,never,8769,2,21,681.2
pescatarian,wood,public,156,never,1979,1,224,295.6
pescatarian,coal,walk/bicycle,228,frequently,48,2,49,500.6
vegetarian,wood,private,266,rarely,8909,4,266,654.4
omnivore,natural gas,public,101,never,1657,5,126,358.2
vegetarian,natural gas,walk/bicycle,128,rarely,54,3,266,350.2
pescatarian,natural gas,walk/bicycle,296,never,45,5,210,343.6
pescatarian,coal,public,108,frequently,1016,4,238,392.6
vegetarian,wood,private,294,very frequently,1999,3,210,948.2
vegan,electricity,public,68,rarely,712,6,189,264.6
pescatarian,wood,public,126,never,1779,3,182,184.2
pescatarian,electricity,private,65,never,3215,6,112,327.2
pescatarian,electricity,public,118,never,1624,3,70,294.6
pescatarian,wood,public,110,very frequently,553,4,49,601.4
omnivore,coal,walk/bicycle,203,very frequently,93,6,238,700.0
vegan,coal,walk/bicycle,185,frequently,66,1,238,499.2
omnivore,wood,public,67,rarely,1582,7,168,270.4
pescatarian,natural gas,private,149,rarely,7233,6,161,752.8
vegan,electricity,private,183,rarely,1188,5,98,220.4
omnivore,electricity,public,298,frequently,1544,6,133,467.4
omnivore,natural gas,public,274,rarely,1045,2,182,268.2
omnivore,wood,private,119,frequently,9368,4,154,931.2
vegan,wood,walk/bicycle,104,rarely,95,4,49,274.4
pescatarian,natural gas,public,92,rarely,1105,2,189,214.8
vegan,natural gas,walk/bicycle,134,frequently,89,6,217,409.4
vegan,wood,private,144,frequently,7827,2,168,726.0
omnivore,natural gas,walk/bicycle,291,rarely,23,5,84,471.6
pescatarian,natural gas,private,159,very frequently,1300,5,161,684.6
omnivore,wood,public,110,never,810,3,133,170.2
omnivore,natural gas,walk/bicycle,130,frequently,25,3,231,325.6
vegan,natural gas,walk/bicycle,56,frequently,62,5,315,328.2
pescatarian,coal,public,133,rarely,1634,4,217,406.4
vegetarian,natural gas,private,261,frequently,8366,6,189,657.4
omnivore,coal,private,149,rarely,9901,1,217,953.0
omnivore,wood,public,285,rarely,57,6,147,446.6
omnivore,natural gas,private,50,never,9662,2,140,662.8
pescatarian,electricity,private,116,frequently,4009,7,329,387.4
vegetarian,electricity,public,178,never,1877,6,245,297.4
pescatarian,electricity,walk/bicycle,88,frequently,20,6,217,291.6
vegan,natural gas,private,117,frequently,3438,6,189,333.8
vegan,coal,walk/bicycle,195,never,95,2,154,163.8
pescatarian,electricity,walk/bicycle,73,frequently,68,6,245,231.0
pescatarian,coal,public,187,never,801,3,126,188.4
vegetarian,natural gas,walk/bicycle,241,never,61,3,56,142.0
vegan,coal,private,280,frequently,343,1,161,440.0
vegetarian,electricity,walk/bicycle,182,frequently,64,7,161,441.2
vegan,coal,public,112,frequently,1656,6,196,499.4
pescatarian,natural gas,walk/bicycle,299,very frequently,92,1,49,477.4
vegetarian,wood,public,67,never,1062,2,105,107.0
vegetarian,coal,public,70,rarely,1292,6,189,384.4
vegetarian,wood,walk/bicycle,58,frequently,10,4,287,355.6
omnivore,coal,walk/bicycle,51,rarely,78,4,217,370.8
vegetarian,coal,walk/bicycle,175,frequently,74,2,203,433.6
pescatarian,electricity,public,164,very frequently,1342,6,98,460.8
vegetarian,electricity,walk/bicycle,117,never,19,7,77,331.4
vegan,wood,walk/bicycle,159,rarely,66,1,91,225.0
omnivore,electricity,private,67,never,7585,5,245,485.6
vegetarian,coal,private,234,never,1762,7,63,337.0
pescatarian,electricity,walk/bicycle,97,frequently,53,6,112,366.2
omnivore,coal,walk/bicycle,172,very frequently,14,1,280,610.4
vegetarian,natural gas,public,94,frequently,931,7,182,345.0
vegan,wood,public,228,very frequently,149,4,105,630.4
pescatarian,wood,walk/bicycle,60,rarely,25,3,329,213.4
vegetarian,natural gas,private,143,rarely,1952,2,119,299.4
pescatarian,electricity,private,134,very frequently,932,6,182,533.8
vegetarian,wood,private,97,very frequently,2924,2,126,484.6
pescatarian,electricity,walk/bicycle,160,rarely,29,1,224,129.6
omnivore,coal,public,162,rarely,1574,6,63,467.0
vegan,natural gas,walk/bicycle,176,very frequently,77,6,175,357.4
omnivore,natural gas,walk/bicycle,281,frequently,62,6,84,497.0
vegan,wood,private,275,never,1884,4,63,377.2
omnivore,coal,public,109,rarely,452,7,126,333.2
omnivore,coal,public,267,never,1584,1,126,287.8
pescatarian,electricity,public,72,never,1887,3,49,181.4
vegan,electricity,walk/bicycle,237,rarely,30,4,238,250.6
pescatarian,wood,private,164,frequently,7506,5,273,1106.6
omnivore,wood,public,180,very frequently,719,3,112,387.0
vegetarian,natural gas,private,65,rarely,2671,2,182,297.4
vegan,electricity,walk/bicycle,104,rarely,89,3,210,308.2
vegan,coal,public,86,rarely,401,6,238,418.4
vegetarian,wood,walk/bicycle,284,very frequently,58,4,112,527.6
omnivore,coal,walk/bicycle,207,very frequently,56,4,210,500.8
pescatarian,wood,walk/bicycle,92,never,7,4,70,223.0
vegetarian,electricity,private,112,rarely,2570,4,112,256.6
vegan,natural gas,public,152,very frequently,900,3,77,518.0
omnivore,coal,private,298,rarely,3439,1,189,492.8
pescatarian,natural gas,walk/bicycle,189,very frequently,2,2,238,603.0
omnivore,electricity,public,270,never,1492,6,259,228.8
vegetarian,natural gas,public,139,very frequently,39,3,231,470.2
omnivore,natural gas,walk/bicycle,186,rarely,30,7,28,337.8
pescatarian,wood,private,74,frequently,4799,1,301,346.4
omnivore,electricity,walk/bicycle,205,rarely,51,3,189,346.6
pescatarian,electricity,walk/bicycle,246,rarely,38,7,147,261.0
pescatarian,coal,public,277,never,919,1,105,388.2
pescatarian,wood,walk/bicycle,184,never,53,1,140,199.2
vegan,electricity,public,58,rarely,1324,6,168,384.2
omnivore,wood,public,90,never,988,5,266,383.2
vegetarian,coal,walk/bicycle,51,frequently,33,4,105,436.6
vegetarian,coal,public,94,very frequently,303,4,49,463.0
vegan,wood,walk/bicycle,182,very frequently,74,7,35,583.4
omnivore,electricity,private,136,rarely,8747,5,280,302.2
omnivore,wood,public,264,never,1146,4,224,249.6
vegan,natural gas,private,164,very frequently,71,5,210,579.8
vegetarian,wood,private,62,never,2289,7,245,268.0
omnivore,electricity,public,54,never,259,3,238,321.4
pescatarian,coal,public,247,never,919,7,126,251.0
vegan,electricity,walk/bicycle,292,never,53,6,21,98.8
vegetarian,electricity,private,170,very frequently,4630,5,140,518.2
pescatarian,wood,private,144,very frequently,8182,1,147,803.8
omnivore,electricity,public,136,frequently,1185,4,189,366.0
omnivore,wood,public,223,frequently,1465,3,266,413.8
vegan,coal,private,133,frequently,85,2,98,357.8
omnivore,wood,private,151,rarely,54,7,189,313.6
pescatarian,coal,walk/bicycle,146,frequently,21,4,119,429.2
vegan,electricity,private,251,rarely,1552,1,336,254.8
vegan,electricity,public,281,rarely,406,7,49,285.0
vegetarian,coal,public,243,rarely,1663,6,70,435.6
omnivore,coal,public,291,never,1420,3,259,422.8
omnivore,natural gas,private,183,frequently,9489,5,217,322.0
vegan,coal,public,222,very frequently,920,4,210,666.2
omnivore,wood,public,191,frequently,1079,7,259,420.8
vegan,natural gas,private,164,rarely,909,1,217,363.8
pescatarian,wood,public,128,rarely,1681,1,126,271.0
pescatarian,natural gas,public,86,rarely,1059,2,119,325.2
vegan,wood,public,158,rarely,1810,7,84,444.6
vegetarian,wood,public,71,very frequently,1209,6,42,684.6
pescatarian,natural gas,walk/bicycle,263,very frequently,12,6,196,453.6
omnivore,wood,private,189,frequently,3182,7,133,522.4
vegetarian,wood,walk/bicycle,158,never,65,7,224,260.0
pescatarian,coal,walk/bicycle,269,rarely,80,5,203,310.0
vegetarian,wood,private,72,rarely,837,4,63,364.8
vegetarian,coal,walk/bicycle,79,never,0,2,189,264.4
vegetarian,natural gas,private,216,never,2317,3,210,453.2
vegan,electricity,walk/bicycle,183,rarely,25,4,105,269.4
omnivore,natural gas,walk/bicycle,145,frequently,26,4,56,432.0
vegetarian,natural gas,walk/bicycle,157,very frequently,47,3,119,534.0
vegetarian,natural gas,walk/bicycle,250,rarely,73,7,189,299.2
vegetarian,electricity,private,205,rarely,5898,3,126,235.0
omnivore,coal,private,176,rarely,7691,1,84,641.2
vegan,wood,walk/bicycle,286,frequently,44,7,112,395.6
pescatarian,natural gas,private,238,never,4881,7,280,486.4
vegan,coal,walk/bicycle,59,rarely,78,4,231,254.6
vegan,coal,public,140,rarely,1257,2,175,384.4
vegetarian,natural gas,private,286,rarely,3010,7,133,395.4
vegetarian,electricity,public,156,frequently,542,6,98,331.4
vegan,natural gas,public,115,very frequently,19,4,77,598.4
vegetarian,wood,private,258,never,5119,5,273,326.8
pescatarian,coal,public,224,rarely,1553,5,126,452.2
vegan,electricity,walk/bicycle,116,never,91,4,315,164.4
vegan,wood,walk/bicycle,273,frequently,34,6,147,533.0
pescatarian,natural gas,private,266,never,21,5,112,377.6
omnivore,natural gas,walk/bicycle,219,very frequently,69,4,42,538.4
vegan,wood,public,299,very frequently,1961,7,98,630.4
pescatarian,wood,walk/bicycle,285,never,27,3,147,398.2
omnivore,electricity,public,218,very frequently,494,3,77,496.4
vegetarian,coal,walk/bicycle,66,never,43,5,14,254.8
pescatarian,coal,public,102,very frequently,321,3,161,687.2
vegan,natural gas,public,115,rarely,84,5,322,377.6
vegetarian,wood,walk/bicycle,264,never,85,7,98,313.6
pescatarian,coal,private,243,rarely,1167,3,147,301.6
omnivore,wood,walk/bicycle,76,rarely,48,2,189,240.4
vegan,natural gas,walk/bicycle,248,very frequently,24,1,70,362.6
vegetarian,electricity,public,118,very frequently,253,4,252,449.0
vegan,natural gas,walk/bicycle,156,very frequently,44,3,154,573.4
vegetarian,electricity,walk/bicycle,179,never,56,1,126,212.4
pescatarian,coal,walk/bicycle,110,frequently,5,6,224,518.4
vegan,coal,walk/bicycle,191,very frequently,2,3,77,476.6
omnivore,electricity,walk/bicycle,268,rarely,68,1,98,199.8
omnivore,coal,private,144,very frequently,6423,7,238,783.8
vegetarian,wood,public,227,very frequently,425,4,175,613.4
pescatarian,electricity,walk/bicycle,272,very frequently,79,2,154,486.2
pescatarian,electricity,walk/bicycle,267,never,67,6,63,256.6
omnivore,natural gas,walk/bicycle,198,very frequently,45,4,98,544.0
vegan,wood,private,129,never,3634,2,196,576.2
pescatarian,coal,private,76,never,6218,3,63,639.4
pescatarian,electricity,public,270,very frequently,1303,5,182,519.8
vegetarian,wood,walk/bicycle,275,rarely,16,4,119,347.0
pescatarian,wood,public,161,never,1892,6,91,328.2
pescatarian,wood,public,74,frequently,626,1,231,296.8
omnivore,coal,private,101,very frequently,7733,3,168,892.4
pescatarian,wood,public,173,very frequently,1606,4,217,661.4
vegan,electricity,public,295,rarely,449,7,259,442.4
vegetarian,wood,walk/bicycle,85,frequently,94,3,301,494.8
omnivore,electricity,walk/bicycle,261,never,5,2,210,188.0
pescatarian,coal,private,70,rarely,3522,1,224,620.4
omnivore,wood,public,193,never,653,5,308,332.2
omnivore,coal,private,237,frequently,9688,5,77,1044.8
pescatarian,electricity,private,256,rarely,6823,5,140,744.2
omnivore,electricity,walk/bicycle,128,very frequently,69,6,63,607.4
omnivore,coal,private,227,rarely,5837,7,252,781.2
omnivore,wood,public,98,rarely,134,2,35,356.8
vegetarian,wood,public,107,never,1992,4,112,324.4
vegan,natural gas,walk/bicycle,186,rarely,38,7,105,430.6
vegetarian,wood,private,204,rarely,2800,4,119,272.4
pescatarian,coal,private,262,frequently,1178,3,126,552.2
pescatarian,wood,private,169,frequently,2582,6,70,371.0
vegetarian,natural gas,public,158,frequently,836,5,56,475.6
pescatarian,natural gas,public,126,very frequently,884,3,147,646.4
pescatarian,natural gas,walk/bicycle,195,frequently,59,2,196,272.4
vegan,electricity,private,64,very frequently,3164,5,175,672.8
vegan,coal,public,206,never,1882,7,112,382.8
vegan,wood,private,90,frequently,8469,4,224,1007.0
vegan,coal,public,62,very frequently,992,3,231,583.0
vegetarian,electricity,public,61,rarely,1732,6,329,382.4
pescatarian,wood,public,254,very frequently,32,4,154,534.0
vegan,coal,walk/bicycle,157,rarely,75,6,168,493.0
omnivore,coal,private,72,very frequently,3280,3,56,739.2
vegan,wood,walk/bicycle,279,very frequently,73,1,112,497.6
omnivore,wood,public,286,never,230,1,259,236.4
omnivore,natural gas,public,241,frequently,663,7,266,610.0
vegetarian,coal,public,184,frequently,92,6,133,468.2
vegan,wood,walk/bicycle,156,rarely,25,2,147,260.2
omnivore,electricity,private,111,never,609,5,189,250.0
vegan,wood,private,210,frequently,8766,1,315,797.4
vegan,wood,walk/bicycle,200,very frequently,89,4,224,409.6
pescatarian,electricity,walk/bicycle,107,rarely,66,5,231,254.8
vegan,wood,public,273,frequently,296,6,126,571.0
pescatarian,coal,private,129,very frequently,3892,4,301,695.0
omnivore,electricity,walk/bicycle,61,very frequently,54,2,56,458.2
vegetarian,wood,private,265,frequently,4135,7,49,717.8
vegan,natural gas,public,242,never,1922,7,175,376.4
pescatarian,electricity,public,147,rarely,516,1,210,181.2
pescatarian,electricity,walk/bicycle,260,rarely,16,4,294,346.4
vegan,natural gas,public,278,rarely,795,1,21,245.8
pescatarian,coal,public,227,frequently,1394,6,140,727.4
pescatarian,coal,walk/bicycle,218,rarely,80,5,98,346.6
vegan,electricity,public,141,very frequently,605,7,70,657.0
vegetarian,natural gas,walk/bicycle,285,very frequently,11,7,182,525.6
pescatarian,wood,public,188,very frequently,549,2,266,707.2
omnivore,coal,walk/bicycle,248,rarely,8,5,140,460.0
omnivore,electricity,walk/bicycle,158,rarely,78,3,161,286.0
vegan,wood,walk/bicycle,135,very frequently,81,6,154,478.2
pescatarian,coal,private,297,frequently,4690,5,315,821.0
pescatarian,natural gas,public,248,rarely,253,6,308,322.4
vegan,wood,private,172,very frequently,2419,7,231,668.4
vegan,electricity,private,183,frequently,5544,4,252,266.6
vegetarian,electricity,private,245,very frequently,1645,2,175,523.6
pescatarian,natural gas,private,77,very frequently,9246,5,161,684.0
omnivore,wood,public,155,rarely,1540,1,119,293.4
omnivore,coal,walk/bicycle,189,rarely,79,1,147,368.6
pescatarian,coal,walk/bicycle,100,never,84,2,224,269.4
omnivore,natural gas,walk/bicycle,178,never,4,4,280,215.0
omnivore,wood,private,181,never,7270,1,168,248.8
omnivore,wood,walk/bicycle,61,very frequently,56,2,168,575.0
omnivore,natural gas,private,187,never,4588,3,105,305.0
vegetarian,coal,private,202,very frequently,7843,1,175,936.4
vegan,natural gas,private,89,never,9503,5,119,617.4
vegan,natural gas,walk/bicycle,117,rarely,59,6,210,184.0
pescatarian,electricity,private,276,very frequently,2171,7,98,494.8
pescatarian,coal,walk/bicycle,231,frequently,26,3,308,522.8
vegan,electricity,public,285,rarely,198,1,224,315.2
vegan,wood,private,56,frequently,1414,7,112,488.2
pescatarian,wood,private,164,never,4443,4,112,271.6
omnivore,coal,public,275,frequently,205,5,231,599.6
vegetarian,natural gas,public,103,very frequently,893,3,182,487.8
vegetarian,coal,walk/bicycle,177,frequently,5,7,63,555.2
omnivore,natural gas,walk/bicycle,53,never,59,3,175,242.8
vegan,wood,public,101,very frequently,1220,2,231,459.8
vegan,natural gas,public,189,never,1932,5,140,179.6
omnivore,natural gas,walk/bicycle,238,never,34,4,231,244.0
pescatarian,wood,walk/bicycle,124,never,50,3,133,208.0
vegetarian,wood,public,198,rarely,932,7,140,485.2
vegan,wood,walk/bicycle,247,very frequently,62,6,140,501.8
pescatarian,coal,public,178,never,895,7,224,399.4
vegetarian,electricity,public,111,frequently,1607,5,98,400.2
vegan,coal,public,205,rarely,1702,2,119,216.4
pescatarian,coal,public,291,frequently,1584,5,196,475.8
omnivore,wood,private,146,very frequently,1200,7,238,555.4
pescatarian,coal,walk/bicycle,184,never,88,7,189,324.8
vegan,electricity,private,143,very frequently,1778,7,189,385.2
pescatarian,wood,public,267,very frequently,520,3,98,540.6
vegan,natural gas,walk/bicycle,96,very frequently,11,1,273,431.8
omnivore,natural gas,public,241,very frequently,1949,3,84,590.4
vegan,electricity,public,215,never,1121,6,154,378.2
vegan,wood,walk/bicycle,191,rarely,63,5,77,348.4
omnivore,electricity,private,65,never,2301,6,175,365.0
pescatarian,electricity,private,290,frequently,583,5,245,329.4
pescatarian,natural gas,public,135,frequently,228,5,35,389.6
pescatarian,electricity,public,234,rarely,1490,1,315,317.6
omnivore,coal,private,253,frequently,9663,3,140,787.6
vegetarian,coal,walk/bicycle,268,very frequently,15,2,154,346.0
vegetarian,coal,walk/bicycle,250,very frequently,30,2,231,629.4
vegetarian,natural gas,walk/bicycle,167,frequently,10,5,126,323.6
pescatarian,wood,public,63,frequently,442,2,63,402.4
omnivore,electricity,walk/bicycle,291,frequently,99,4,168,369.6
omnivore,natural gas,walk/bicycle,212,frequently,95,6,287,508.0
omnivore,electricity,private,173,rarely,352,2,294,338.2
pescatarian,electricity,public,250,rarely,821,4,210,323.2
omnivore,coal,walk/bicycle,63,never,21,7,189,381.4
pescatarian,wood,walk/bicycle,141,very frequently,39,6,91,445.2
omnivore,wood,public,53,rarely,1055,7,168,293.4
vegan,wood,walk/bicycle,56,frequently,78,2,21,393.6
vegetarian,electricity,public,122,never,403,5,259,237.4
vegan,electricity,walk/bicycle,257,never,54,5,329,231.0
vegetarian,wood,private,84,frequently,4191,7,168,898.4
vegetarian,electricity,public,59,very frequently,913,4,133,357.0
vegetarian,coal,walk/bicycle,243,rarely,92,7,315,350.2
pescatarian,wood,public,125,rarely,684,6,112,379.2
pescatarian,coal,private,82,rarely,831,2,168,281.8
vegan,natural gas,public,275,frequently,835,6,224,423.4
vegan,coal,private,265,frequently,8311,2,175,638.0
vegan,natural gas,public,174,very frequently,171,2,168,454.8
pescatarian,natural gas,private,207,very frequently,3424,7,147,685.0
vegan,natural gas,walk/bicycle,85,rarely,19,2,105,215.0
vegan,wood,private,56,rarely,6873,2,98,213.4
vegetarian,natural gas,private,152,very frequently,8676,2,49,447.4
omnivore,coal,walk/bicycle,270,rarely,14,6,273,541.4
vegan,natural gas,public,116,frequently,336,6,238,397.2
vegan,natural gas,private,108,frequently,5284,2,273,719.4
pescatarian,coal,public,259,frequently,1690,3,280,351.0
vegetarian,wood,public,94,rarely,1128,7,63,581.2
vegan,electricity,private,137,rarely,2988,5,91,300.2
omnivore,coal,private,251,rarely,4999,5,21,345.8
vegan,electricity,private,284,never,2236,3,182,472.0
omnivore,natural gas,public,111,frequently,1682,1,140,346.2
vegan,coal,walk/bicycle,63,never,2,4,217,396.0
vegetarian,coal,walk/bicycle,249,never,35,1,126,269.8
vegetarian,natural gas,public,207,frequently,360,4,259,479.2
vegetarian,wood,public,77,very frequently,371,2,28,412.0
vegetarian,natural gas,walk/bicycle,190,frequently,86,5,77,292.6
pescatarian,electricity,walk/bicycle,263,frequently,71,2,189,395.8
vegetarian,wood,walk/bicycle,64,rarely,22,7,140,355.0
vegetarian,wood,public,189,frequently,1308,5,280,364.8
omnivore,electricity,public,199,never,851,1,147,173.4
omnivore,coal,private,50,never,7386,1,147,1072.0
vegetarian,coal,private,264,very frequently,3374,6,98,1006.8
omnivore,coal,walk/bicycle,68,rarely,58,4,168,244.8
omnivore,electricity,private,52,frequently,2035,7,224,390.0
pescatarian,wood,private,274,rarely,6365,2,161,498.6
vegetarian,natural gas,walk/bicycle,86,never,18,1,133,225.4
vegetarian,wood,private,80,frequently,5795,2,294,358.2
vegetarian,natural gas,private,115,very frequently,1116,7,301,461.8
pescatarian,coal,walk/bicycle,84,very frequently,13,1,126,466.2
pescatarian,coal,walk/bicycle,150,rarely,53,6,154,386.6
vegan,coal,walk/bicycle,51,rarely,13,4,224,356.4
omnivore,natural gas,walk/bicycle,258,rarely,88,7,329,349.2
omnivore,wood,private,180,never,7507,1,133,787.8
omnivore,natural gas,private,151,very frequently,1370,4,217,650.2
vegetarian,wood,public,208,frequently,25,4,147,381.2
omnivore,electricity,walk/bicycle,206,never,59,3,84,191.0
pescatarian,electricity,public,86,never,1480,4,91,275.4
vegetarian,coal,public,256,never,1568,1,98,296.8
vegetarian,coal,public,64,rarely,1704,7,182,287.4
vegan,electricity,walk/bicycle,166,rarely,65,3,189,193.6
pescatarian,wood,private,116,frequently,7450,2,231,851.4
vegan,electricity,walk/bicycle,269,very frequently,75,3,210,376.2
pescatarian,wood,public,55,very frequently,981,3,119,564.8
vegan,natural gas,walk/bicycle,147,never,45,6,315,402.0
vegan,natural gas,public,225,frequently,1921,7,56,513.4
pescatarian,coal,private,106,rarely,9086,4,154,318.6
vegan,coal,private,299,frequently,5652,3,210,753.4
vegetarian,electricity,public,147,never,999,3,210,217.4
vegan,wood,public,65,rarely,339,5,105,325.0
omnivore,coal,private,275,very frequently,2098,3,168,497.4
pescatarian,electricity,walk/bicycle,137,frequently,12,6,140,264.8
omnivore,electricity,walk/bicycle,138,never,83,7,49,474.2
omnivore,electricity,public,222,never,1591,7,252,251.4
omnivore,electricity,private,112,very frequently,960,5,105,629.4
omnivore,coal,private,118,rarely,2089,7,252,515.4
vegetarian,wood,public,181,very frequently,14,4,252,537.8
vegetarian,natural gas,public,245,rarely,65,4,308,351.2
vegetarian,electricity,public,167,very frequently,983,7,196,556.2
vegetarian,wood,private,66,frequently,504,4,280,447.2
vegan,natural gas,public,237,never,1417,6,245,275.6
pescatarian,electricity,public,283,rarely,91,6,182,487.8
vegetarian,electricity,private,145,never,1519,7,210,223.8
vegetarian,natural gas,public,166,frequently,1235,6,140,428.2
vegetarian,natural gas,public,287,very frequently,1872,6,7,488.6
omnivore,natural gas,public,234,never,589,7,77,388.6
vegetarian,coal,public,233,rarely,1244,2,56,299.8
vegan,coal,walk/bicycle,120,very frequently,91,3,56,545.4
pescatarian,wood,walk/bicycle,193,never,19,7,259,318.0
pescatarian,coal,private,243,rarely,2369,2,168,389.0
vegan,electricity,walk/bicycle,200,rarely,78,1,189,111.8
vegan,coal,public,60,never,1869,6,140,375.4
pescatarian,wood,private,282,very frequently,8524,4,196,986.2
pescatarian,coal,walk/bicycle,236,never,24,6,168,260.8
omnivore,wood,public,158,frequently,753,4,182,356.4
pescatarian,electricity,walk/bicycle,57,rarely,73,1,105,356.6
vegan,wood,walk/bicycle,284,never,57,4,84,120.2
vegan,wood,public,101,never,809,5,21,365.4
vegan,electricity,public,279,frequently,574,4,98,291.0
pescatarian,natural gas,walk/bicycle,111,very frequently,86,5,196,519.6
pescatarian,wood,walk/bicycle,170,very frequently,10,6,175,417.8
vegan,coal,private,249,rarely,2989,5,119,407.2
vegan,wood,private,204,frequently,8442,6,105,791.8
vegetarian,coal,public,282,never,799,6,161,413.4
omnivore,electricity,private,206,very frequently,3538,3,133,747.2
pescatarian,electricity,walk/bicycle,121,very frequently,61,2,112,492.4
vegetarian,coal,private,288,very frequently,8954,1,133,1078.0
vegetarian,coal,public,108,very frequently,1861,3,259,625.2
vegetarian,natural gas,public,75,rarely,1657,7,119,488.0
vegan,wood,public,96,very frequently,1406,3,231,513.4
pescatarian,coal,walk/bicycle,175,very frequently,81,2,84,455.6
vegan,wood,private,191,never,3297,2,161,355.0
